p_mult,acc
0.05,"[4.579384671723468, 0.984562150652116, 0.9289149143820424, 0.9975157483808003, 0.9678644308402093, 0.9916600124212581, 0.9886966551326413, 0.9883240173897614, 0.8798332002484252, 0.9248691331736314]"
0.1,"[4.623023792495858, 0.9833555141513619, 0.9269807470499511, 0.9974625144175318, 0.9662851565965753, 0.9916955017301038, 0.9877739331026528, 0.9874367846686186, 0.8756099724957856, 0.9216396060686718]"
0.15000000000000002,"[4.666992080397297, 0.9823440688492592, 0.9233608375476887, 0.9970721320202289, 0.9633572886168041, 0.9912341407151096, 0.9872770827788129, 0.98688670038151, 0.8686363233076035, 0.9165646349037353]"
0.2,"[4.699381483747836, 0.9801969656640936, 0.9227397746428888, 0.9967172389317718, 0.9592582734451247, 0.9905243545381953, 0.9857155531896016, 0.9852896814834531, 0.8624966728772957, 0.9113654511578387]"
0.25,"[4.746652691185849, 0.9789016058912253, 0.9213379469434833, 0.9962203886079318, 0.9570579362966907, 0.9899387809422412, 0.9854493833732588, 0.9850944902848017, 0.8572797444769763, 0.9076923076923077]"
0.30000000000000004,"[4.780636256567522, 0.977340076302014, 0.917824505367758, 0.9959364741371661, 0.9544672167509538, 0.9899032916333954, 0.985555851299796, 0.9850944902848017, 0.8508916688847484, 0.9033803566675539]"
0.35000000000000003,"[4.81314881053522, 0.9763463756543341, 0.9171324638452666, 0.9959719634460119, 0.9512199449915713, 0.9896903557803212, 0.984562150652116, 0.9843669594534646, 0.8465797178599946, 0.8989796823706858]"
